Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 14547, -122.894, 1.53996, -148.286
60, 1.00833, 13347.1, -123.21, 2.98173, -149.7
61, 1.01667, 29.3831, -84.639, 0.00313621, -110.023
62, 1.02500, 29.4824, -84.4437, 0.00314128, -109.818
62, 1.03333, 29.5825, -84.2496, 0.00314641, -109.615
63, 1.04167, 29.6834, -84.0567, 0.00315161, -109.415
63, 1.05000, 29.7852, -83.8649, 0.00315688, -109.216
63, 1.05833, 29.8878, -83.6743, 0.00316221, -109.019
64, 1.06667, 29.9913, -83.4848, 0.0031676, -108.824
65, 1.07500, 30.0956, -83.2965, 0.00317306, -108.63
65, 1.08333, 30.2008, -83.1094, 0.00317858, -108.439
66, 1.09167, 30.3068, -82.9234, 0.00318417, -108.249
66, 1.10000, 30.4137, -82.7387, 0.00318981, -108.061
66, 1.10833, 30.5213, -82.5551, 0.00319552, -107.875
67, 1.11667, 30.6299, -82.3727, 0.00320129, -107.691
68, 1.12500, 30.7392, -82.1915, 0.00320711, -107.508
68, 1.13333, 30.8494, -82.0115, 0.003213, -107.327
69, 1.14167, 30.9605, -81.8326, 0.00321894, -107.147
69, 1.15000, 31.0724, -81.6549, 0.00322495, -106.969
69, 1.15833, 31.1851, -81.4785, 0.00323101, -106.793
70, 1.16667, 31.2987, -81.3032, 0.00323712, -106.619
71, 1.17500, 31.413, -81.1291, 0.00324329, -106.446
71, 1.18333, 31.5283, -80.9562, 0.00324952, -106.274
72, 1.19167, 31.6444, -80.7844, 0.00325581, -106.104
72, 1.20000, 31.7613, -80.6139, 0.00326214, -105.936
72, 1.20833, 31.879, -80.4446, 0.00326854, -105.769
73, 1.21667, 31.9976, -80.2764, 0.00327498, -105.603
74, 1.22500, 32.117, -80.1094, 0.00328148, -105.439
74, 1.23333, 32.2373, -79.9436, 0.00328804, -105.276
75, 1.24167, 32.3584, -79.779, 0.00329465, -105.115
75, 1.25000, 32.4803, -79.6155, 0.00330131, -104.955
75, 1.25833, 32.6031, -79.4533, 0.00330802, -104.797
76, 1.26667, 32.7268, -79.2922, 0.00331478, -104.64
77, 1.27500, 32.8512, -79.1323, 0.0033216, -104.484
77, 1.28333, 32.9765, -78.9735, 0.00332846, -104.33
78, 1.29167, 33.1027, -78.8159, 0.00333538, -104.177
78, 1.30000, 33.2297, -78.6595, 0.00334235, -104.025
78, 1.30833, 33.3575, -78.5043, 0.00334937, -103.875
79, 1.31667, 33.4862, -78.3502, 0.00335644, -103.726
80, 1.32500, 33.6158, -78.1973, 0.00336356, -103.578
80, 1.33333, 33.7462, -78.0455, 0.00337073, -103.431
81, 1.34167, 33.8774, -77.8949, 0.00337795, -103.286
81, 1.35000, 34.0095, -77.7454, 0.00338522, -103.141
81, 1.35833, 34.1425, -77.5971, 0.00339254, -102.998
82, 1.36667, 34.2763, -77.4499, 0.00339991, -102.857
83, 1.37500, 34.4109, -77.3039, 0.00340733, -102.716
83, 1.38333, 34.5464, -77.159, 0.0034148, -102.577
84, 1.39167, 34.6828, -77.0152, 0.00342232, -102.438
84, 1.40000, 34.8201, -76.8726, 0.00342988, -102.301
84, 1.40833, 34.9582, -76.7311, 0.0034375, -102.165
85, 1.41667, 35.0972, -76.5907, 0.00344516, -102.03
86, 1.42500, 35.237, -76.4514, 0.00345287, -101.896
86, 1.43333, 35.3777, -76.3133, 0.00346064, -101.764
87, 1.44167, 35.5193, -76.1763, 0.00346845, -101.632
87, 1.45000, 35.6618, -76.0403, 0.00347631, -101.501
87, 1.45833, 35.8051, -75.9055, 0.00348422, -101.372
88, 1.46667, 35.9494, -75.7718, 0.00349217, -101.243
89, 1.47500, 36.0945, -75.6392, 0.00350018, -101.116
89, 1.48333, 36.2405, -75.5077, 0.00350824, -100.99
90, 1.49167, 36.3874, -75.3773, 0.00351634, -100.864
90, 1.50000, 36.5352, -75.2479, 0.00352449, -100.74
90, 1.50833, 36.6838, -75.1197, 0.0035327, -100.617
91, 1.51667, 36.8334, -74.9925, 0.00354095, -100.494
92, 1.52500, 36.9839, -74.8664, 0.00354925, -100.373
92, 1.53333, 37.1353, -74.7414, 0.0035576, -100.252
93, 1.54167, 37.2876, -74.6174, 0.003566, -100.133
93, 1.55000, 37.4408, -74.4945, 0.00357445, -100.014
93, 1.55833, 37.595, -74.3727, 0.00358295, -99.8969
94, 1.56667, 37.75, -74.2519, 0.0035915, -99.7803
94, 1.57500, 37.906, -74.1322, 0.0036001, -99.6645
95, 1.58333, 38.0629, -74.0135, 0.00360875, -99.5498
96, 1.59167, 38.2208, -73.8959, 0.00361745, -99.4359
96, 1.60000, 38.3796, -73.7793, 0.0036262, -99.3229
96, 1.60833, 38.5393, -73.6637, 0.00363501, -99.2108
