Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 14786.5, -2.34986, 12.9132, -26.7176
60, 1.00833, 13058.3, -1.67576, 24.3517, -28.1119
61, 1.01667, 0.00487605, 12.5, 4.25947E-006, -11.8318
62, 1.02500, 0.00491489, 12.557, 4.28491E-006, -11.7513
62, 1.03333, 0.00495378, 12.6125, 4.31028E-006, -11.673
63, 1.04167, 0.00499272, 12.6665, 4.33558E-006, -11.5969
63, 1.05000, 0.0050317, 12.719, 4.36081E-006, -11.5229
63, 1.05833, 0.00507072, 12.7701, 4.38596E-006, -11.4509
64, 1.06667, 0.0051098, 12.8198, 4.41105E-006, -11.381
65, 1.07500, 0.00514893, 12.8681, 4.43606E-006, -11.313
65, 1.08333, 0.0051881, 12.9151, 4.46101E-006, -11.2469
66, 1.09167, 0.00522732, 12.9607, 4.48588E-006, -11.1826
66, 1.10000, 0.00526659, 13.005, 4.51067E-006, -11.1201
66, 1.10833, 0.0053059, 13.0481, 4.5354E-006, -11.0593
67, 1.11667, 0.00534527, 13.0899, 4.56005E-006, -11.0002
68, 1.12500, 0.00538468, 13.1305, 4.58463E-006, -10.9428
68, 1.13333, 0.00542414, 13.1698, 4.60914E-006, -10.887
69, 1.14167, 0.00546365, 13.208, 4.63358E-006, -10.8327
69, 1.15000, 0.00550321, 13.245, 4.65794E-006, -10.7799
69, 1.15833, 0.00554281, 13.2809, 4.68223E-006, -10.7285
70, 1.16667, 0.00558247, 13.3156, 4.70644E-006, -10.6786
71, 1.17500, 0.00562217, 13.3493, 4.73059E-006, -10.6301
71, 1.18333, 0.00566192, 13.3818, 4.75466E-006, -10.5829
72, 1.19167, 0.00570173, 13.4133, 4.77866E-006, -10.537
72, 1.20000, 0.00574158, 13.4437, 4.80259E-006, -10.4924
72, 1.20833, 0.00578147, 13.4731, 4.82644E-006, -10.449
73, 1.21667, 0.00582143, 13.5015, 4.85022E-006, -10.4068
74, 1.22500, 0.00586143, 13.5289, 4.87393E-006, -10.3658
74, 1.23333, 0.00590147, 13.5553, 4.89757E-006, -10.3259
75, 1.24167, 0.00594158, 13.5807, 4.92114E-006, -10.2871
75, 1.25000, 0.00598172, 13.6052, 4.94464E-006, -10.2494
75, 1.25833, 0.00602192, 13.6287, 4.96806E-006, -10.2128
76, 1.26667, 0.00606218, 13.6513, 4.99142E-006, -10.1771
77, 1.27500, 0.00610248, 13.673, 5.0147E-006, -10.1424
77, 1.28333, 0.00614283, 13.6938, 5.03792E-006, -10.1087
78, 1.29167, 0.00618323, 13.7138, 5.06106E-006, -10.076
78, 1.30000, 0.00622369, 13.7328, 5.08414E-006, -10.0441
78, 1.30833, 0.00626419, 13.751, 5.10714E-006, -10.0131
79, 1.31667, 0.00630475, 13.7683, 5.13008E-006, -9.98296
80, 1.32500, 0.00634536, 13.7848, 5.15295E-006, -9.95366
80, 1.33333, 0.00638603, 13.8005, 5.17574E-006, -9.92517
81, 1.34167, 0.00642674, 13.8154, 5.19848E-006, -9.89747
81, 1.35000, 0.00646751, 13.8295, 5.22114E-006, -9.87054
81, 1.35833, 0.00650833, 13.8427, 5.24374E-006, -9.84436
82, 1.36667, 0.00654921, 13.8552, 5.26627E-006, -9.8189
83, 1.37500, 0.00659013, 13.867, 5.28873E-006, -9.79414
83, 1.38333, 0.00663111, 13.8779, 5.31113E-006, -9.77007
84, 1.39167, 0.00667215, 13.8881, 5.33346E-006, -9.74667
84, 1.40000, 0.00671324, 13.8976, 5.35573E-006, -9.72392
84, 1.40833, 0.00675438, 13.9063, 5.37793E-006, -9.70181
85, 1.41667, 0.00679558, 13.9143, 5.40007E-006, -9.6803
86, 1.42500, 0.00683683, 13.9216, 5.42214E-006, -9.6594
86, 1.43333, 0.00687814, 13.9282, 5.44415E-006, -9.63907
87, 1.44167, 0.0069195, 13.9341, 5.4661E-006, -9.61932
87, 1.45000, 0.00696092, 13.9393, 5.48798E-006, -9.60011
87, 1.45833, 0.00700239, 13.9438, 5.5098E-006, -9.58144
88, 1.46667, 0.00704392, 13.9476, 5.53156E-006, -9.56329
89, 1.47500, 0.0070855, 13.9507, 5.55326E-006, -9.54565
89, 1.48333, 0.00712714, 13.9532, 5.5749E-006, -9.5285
90, 1.49167, 0.00716884, 13.955, 5.59648E-006, -9.51184
90, 1.50000, 0.0072106, 13.9562, 5.618E-006, -9.49564
90, 1.50833, 0.00725241, 13.9567, 5.63946E-006, -9.4799
91, 1.51667, 0.00729428, 13.9566, 5.66086E-006, -9.46459
92, 1.52500, 0.0073362, 13.9559, 5.6822E-006, -9.44973
92, 1.53333, 0.00737818, 13.9545, 5.70348E-006, -9.43528
93, 1.54167, 0.00742022, 13.9525, 5.72471E-006, -9.42124
93, 1.55000, 0.00746232, 13.9499, 5.74588E-006, -9.4076
93, 1.55833, 0.00750448, 13.9467, 5.76699E-006, -9.39434
94, 1.56667, 0.00754669, 13.9429, 5.78805E-006, -9.38146
94, 1.57500, 0.00758896, 13.9385, 5.80905E-006, -9.36895
95, 1.58333, 0.00763129, 13.9335, 5.83E-006, -9.3568
96, 1.59167, 0.00767369, 13.9279, 5.85089E-006, -9.345
96, 1.60000, 0.00771614, 13.9217, 5.87173E-006, -9.33354
96, 1.60833, 0.00775864, 13.915, 5.89252E-006, -9.3224
97, 1.61667, 0.00780121, 13.9077, 5.91325E-006, -9.31159
98, 1.62500, 0.00784384, 13.8998, 5.93393E-006, -9.3011
98, 1.63333, 0.00788653, 13.8913, 5.95456E-006, -9.29091
99, 1.64167, 0.00792928, 13.8823, 5.97514E-006, -9.28102
99, 1.65000, 0.00797208, 13.8727, 5.99566E-006, -9.27142
99, 1.65833, 0.00801495, 13.8625, 6.01613E-006, -9.2621
100, 1.66667, 0.00805788, 13.8519, 6.03656E-006, -9.25306
101, 1.67500, 0.00810087, 13.8406, 6.05694E-006, -9.24429
101, 1.68333, 0.00814391, 13.8289, 6.07726E-006, -9.23578
102, 1.69167, 0.00818703, 13.8165, 6.09754E-006, -9.22753
102, 1.70000, 0.0082302, 13.8037, 6.11777E-006, -9.21952
102, 1.70833, 0.00827343, 13.7903, 6.13795E-006, -9.21177
103, 1.71667, 0.00831672, 13.7764, 6.15809E-006, -9.20425
104, 1.72500, 0.00836008, 13.762, 6.17818E-006, -9.19696
104, 1.73333, 0.00840349, 13.747, 6.19822E-006, -9.1899
105, 1.74167, 0.00844697, 13.7316, 6.21822E-006, -9.18306
105, 1.75000, 0.00849051, 13.7156, 6.23817E-006, -9.17644
105, 1.75833, 0.00853411, 13.6991, 6.25807E-006, -9.17003
106, 1.76667, 0.00857777, 13.6821, 6.27794E-006, -9.16382
107, 1.77500, 0.0086215, 13.6646, 6.29776E-006, -9.15782
107, 1.78333, 0.00866528, 13.6465, 6.31753E-006, -9.15202
108, 1.79167, 0.00870913, 13.628, 6.33726E-006, -9.1464
108, 1.80000, 0.00875304, 13.609, 6.35695E-006, -9.14098
108, 1.80833, 0.00879701, 13.5895, 6.3766E-006, -9.13574
109, 1.81667, 0.00884105, 13.5695, 6.39621E-006, -9.13067
109, 1.82500, 0.00888514, 13.549, 6.41577E-006, -9.12579
110, 1.83333, 0.0089293, 13.528, 6.43529E-006, -9.12108
111, 1.84167, 0.00897352, 13.5066, 6.45478E-006, -9.11653
111, 1.85000, 0.00901781, 13.4846, 6.47422E-006, -9.11215
111, 1.85833, 0.00906215, 13.4622, 6.49362E-006, -9.10793
112, 1.86667, 0.00910656, 13.4393, 6.51299E-006, -9.10387
113, 1.87500, 0.00915103, 13.4159, 6.53231E-006, -9.09996
113, 1.88333, 0.00919556, 13.3921, 6.5516E-006, -9.0962
114, 1.89167, 0.00924015, 13.3678, 6.57085E-006, -9.0926
114, 1.90000, 0.0092848, 13.343, 6.59006E-006, -9.08913
114, 1.90833, 0.00932952, 13.3177, 6.60923E-006, -9.08581
115, 1.91667, 0.0093743, 13.292, 6.62837E-006, -9.08262
116, 1.92500, 0.00941914, 13.2658, 6.64747E-006, -9.07958
116, 1.93333, 0.00946404, 13.2392, 6.66653E-006, -9.07666
117, 1.94167, 0.00950901, 13.2121, 6.68556E-006, -9.07388
117, 1.95000, 0.00955403, 13.1845, 6.70455E-006, -9.07122
117, 1.95833, 0.00959911, 13.1565, 6.7235E-006, -9.06869
118, 1.96667, 0.00964426, 13.1281, 6.74243E-006, -9.06628
119, 1.97500, 0.00968947, 13.0992, 6.76131E-006, -9.06398
119, 1.98333, 0.00973473, 13.0698, 6.78016E-006, -9.06181
120, 1.99167, 0.00978007, 13.04, 6.79898E-006, -9.05975
120, 2.00000, 0.00982545, 13.0098, 6.81777E-006, -9.0578
120, 2.00833, 0.0098709, 12.9792, 6.83652E-006, -9.05596
121, 2.01667, 0.00991641, 12.948, 6.85524E-006, -9.05423
122, 2.02500, 0.00996198, 12.9165, 6.87392E-006, -9.0526
122, 2.03333, 0.0100076, 12.8845, 6.89257E-006, -9.05108
123, 2.04167, 0.0100533, 12.8521, 6.91119E-006, -9.04965
123, 2.05000, 0.010099, 12.8193, 6.92978E-006, -9.04832
123, 2.05833, 0.0101448, 12.7861, 6.94833E-006, -9.04709
124, 2.06667, 0.0101907, 12.7524, 6.96686E-006, -9.04595
125, 2.07500, 0.0102366, 12.7183, 6.98535E-006, -9.0449
125, 2.08333, 0.0102826, 12.6838, 7.00381E-006, -9.04393
126, 2.09167, 0.0103287, 12.6489, 7.02224E-006, -9.04305
126, 2.10000, 0.0103747, 12.6136, 7.04064E-006, -9.04225
126, 2.10833, 0.0104209, 12.5778, 7.059E-006, -9.04153
127, 2.11667, 0.0104671, 12.5417, 7.07734E-006, -9.04089
128, 2.12500, 0.0105134, 12.5052, 7.09565E-006, -9.04033
128, 2.13333, 0.0105597, 12.4682, 7.11393E-006, -9.03983
129, 2.14167, 0.0106061, 12.4309, 7.13218E-006, -9.0394
129, 2.15000, 0.0106525, 12.3932, 7.15039E-006, -9.03904
129, 2.15833, 0.010699, 12.3551, 7.16858E-006, -9.03875
130, 2.16667, 0.0107455, 12.3165, 7.18674E-006, -9.03851
131, 2.17500, 0.0107921, 12.2777, 7.20487E-006, -9.03833
131, 2.18333, 0.0108388, 12.2384, 7.22297E-006, -9.03821
132, 2.19167, 0.0108855, 12.1988, 7.24105E-006, -9.03813
132, 2.20000, 0.0109322, 12.1588, 7.25909E-006, -9.03811
132, 2.20833, 0.010979, 12.1184, 7.27711E-006, -9.03813
133, 2.21667, 0.0110259, 12.0777, 7.2951E-006, -9.03819
134, 2.22500, 0.0110728, 12.0366, 7.31305E-006, -9.03829
134, 2.23333, 0.0111198, 11.9951, 7.33099E-006, -9.03842
135, 2.24167, 0.0111668, 11.9533, 7.34889E-006, -9.03859
135, 2.25000, 0.0112138, 11.9112, 7.36677E-006, -9.03878
135, 2.25833, 0.011261, 11.8687, 7.38462E-006, -9.039
136, 2.26667, 0.0113081, 11.8258, 7.40244E-006, -9.03923
137, 2.27500, 0.0113553, 11.7827, 7.42024E-006, -9.03948
137, 2.28333, 0.0114026, 11.7392, 7.43801E-006, -9.03975
138, 2.29167, 0.0114499, 11.6954, 7.45575E-006, -9.04002
138, 2.30000, 0.0114973, 11.6513, 7.47347E-006, -9.04029
138, 2.30833, 0.0115447, 11.6068, 7.49116E-006, -9.04056
139, 2.31667, 0.0115921, 11.5621, 7.50882E-006, -9.04082
140, 2.32500, 0.0116396, 11.5171, 7.52646E-006, -9.04107
140, 2.33333, 0.0116872, 11.4717, 7.54408E-006, -9.04131
141, 2.34167, 0.0117348, 11.4261, 7.56167E-006, -9.04152
141, 2.35000, 0.0117824, 11.3802, 7.57923E-006, -9.04171
141, 2.35833, 0.0118301, 11.334, 7.59677E-006, -9.04187
142, 2.36667, 0.0118779, 11.2875, 7.61429E-006, -9.04199
143, 2.37500, 0.0119256, 11.2408, 7.63179E-006, -9.04207
143, 2.38333, 0.0119735, 11.1939, 7.64926E-006, -9.0421
144, 2.39167, 0.0120214, 11.1466, 7.66671E-006, -9.04208
144, 2.40000, 0.0120693, 11.0992, 7.68414E-006, -9.042
144, 2.40833, 0.0121173, 11.0515, 7.70154E-006, -9.04186
145, 2.41667, 0.0121653, 11.0035, 7.71893E-006, -9.04164
146, 2.42500, 0.0122134, 10.9554, 7.73629E-006, -9.04135
146, 2.43333, 0.0122615, 10.907, 7.75364E-006, -9.04097
147, 2.44167, 0.0123096, 10.8584, 7.77096E-006, -9.0405
147, 2.45000, 0.0123578, 10.8096, 7.78827E-006, -9.03994
147, 2.45833, 0.0124061, 10.7606, 7.80556E-006, -9.03927
148, 2.46667, 0.0124544, 10.7115, 7.82283E-006, -9.0385
149, 2.47500, 0.0125028, 10.6621, 7.84009E-006, -9.0376
149, 2.48333, 0.0125512, 10.6126, 7.85733E-006, -9.03659
150, 2.49167, 0.0125997, 10.563, 7.87456E-006, -9.03545
150, 2.50000, 0.0126482, 10.5131, 7.89177E-006, -9.03417
150, 2.50833, 0.0126967, 10.4632, 7.90897E-006, -9.03275
151, 2.51667, 0.0127454, 10.413, 7.92616E-006, -9.03118
152, 2.52500, 0.012794, 10.3628, 7.94334E-006, -9.02945
152, 2.53333, 0.0128428, 10.3124, 7.96051E-006, -9.02756
153, 2.54167, 0.0128916, 10.262, 7.97767E-006, -9.0255
153, 2.55000, 0.0129404, 10.2114, 7.99483E-006, -9.02327
153, 2.55833, 0.0129893, 10.1607, 8.01198E-006, -9.02085
154, 2.56667, 0.0130383, 10.1099, 8.02912E-006, -9.01824
155, 2.57500, 0.0130874, 10.0591, 8.04627E-006, -9.01544
155, 2.58333, 0.0131365, 10.0081, 8.06341E-006, -9.01243
156, 2.59167, 0.0131857, 9.95712, 8.08056E-006, -9.00922
156, 2.60000, 0.0132349, 9.90605, 8.09771E-006, -9.0058
156, 2.60833, 0.0132843, 9.85493, 8.11486E-006, -9.00215
157, 2.61667, 0.0133337, 9.80375, 8.13202E-006, -8.99828
158, 2.62500, 0.0133832, 9.75254, 8.14919E-006, -8.99418
158, 2.63333, 0.0134327, 9.70129, 8.16637E-006, -8.98985
159, 2.64167, 0.0134824, 9.65, 8.18356E-006, -8.98528
159, 2.65000, 0.0135321, 9.5987, 8.20077E-006, -8.98046
159, 2.65833, 0.013582, 9.54737, 8.21799E-006, -8.9754
160, 2.66667, 0.0136319, 9.49603, 8.23524E-006, -8.97008
161, 2.67500, 0.0136819, 9.44468, 8.2525E-006, -8.96451
161, 2.68333, 0.013732, 9.39332, 8.26979E-006, -8.95868
162, 2.69167, 0.0137823, 9.34195, 8.28711E-006, -8.9526
162, 2.70000, 0.0138326, 9.29059, 8.30446E-006, -8.94625
