Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
60, 1.00000, 14993.4, -3.34944, 14874.2, -124.462, 14895.5, 116.016, 1.12366, -27.0751, 1.55364, -154.436, 1.26059, 71.3076
60, 1.00833, 12098.7, -1.07359, 12649.8, -124.475, 12734.1, 116.781, 2.08511, -26.4182, 2.92532, -154.939, 2.37679, 71.4209
61, 1.01667, 0.00489433, -49.4043, 0.00479759, -49.4997, 0.0100165, 132.56, 2.67017E-007, -86.4205, 5.48939E-007, -80.3792, 8.33648E-007, 98.898
62, 1.02500, 0.00493471, -49.3831, 0.00483734, -49.4717, 0.0101009, 132.604, 2.68351E-007, -86.3936, 5.52193E-007, -80.3377, 8.38419E-007, 98.9476
62, 1.03333, 0.00497518, -49.3633, 0.00487719, -49.4451, 0.0101856, 132.646, 2.69681E-007, -86.3684, 5.55441E-007, -80.2984, 8.43182E-007, 98.9951
63, 1.04167, 0.00501573, -49.3449, 0.00491712, -49.42, 0.0102704, 132.687, 2.71006E-007, -86.3449, 5.58685E-007, -80.2611, 8.47937E-007, 99.0407
63, 1.05000, 0.00505636, -49.3279, 0.00495713, -49.3962, 0.0103555, 132.727, 2.72326E-007, -86.3231, 5.61924E-007, -80.2259, 8.52683E-007, 99.0843
63, 1.05833, 0.00509707, -49.3122, 0.00499723, -49.3739, 0.0104408, 132.765, 2.73642E-007, -86.3029, 5.65159E-007, -80.1925, 8.5742E-007, 99.1261
64, 1.06667, 0.00513787, -49.2978, 0.00503742, -49.3529, 0.0105262, 132.801, 2.74953E-007, -86.2842, 5.68389E-007, -80.1611, 8.6215E-007, 99.1661
65, 1.07500, 0.00517874, -49.2848, 0.00507769, -49.3332, 0.0106119, 132.836, 2.76259E-007, -86.267, 5.71614E-007, -80.1315, 8.66871E-007, 99.2043
65, 1.08333, 0.00521969, -49.273, 0.00511805, -49.3149, 0.0106978, 132.87, 2.77561E-007, -86.2513, 5.74834E-007, -80.1036, 8.71584E-007, 99.2408
66, 1.09167, 0.00526073, -49.2625, 0.0051585, -49.2978, 0.0107839, 132.903, 2.78858E-007, -86.2369, 5.78051E-007, -80.0775, 8.7629E-007, 99.2756
66, 1.10000, 0.00530185, -49.2532, 0.00519904, -49.282, 0.0108702, 132.934, 2.80151E-007, -86.224, 5.81262E-007, -80.0531, 8.80986E-007, 99.3088
66, 1.10833, 0.00534306, -49.2451, 0.00523967, -49.2675, 0.0109567, 132.964, 2.8144E-007, -86.2123, 5.84469E-007, -80.0303, 8.85676E-007, 99.3405
67, 1.11667, 0.00538435, -49.2381, 0.00528038, -49.2541, 0.0110435, 132.993, 2.82724E-007, -86.2019, 5.87672E-007, -80.0092, 8.90358E-007, 99.3707
68, 1.12500, 0.00542572, -49.2324, 0.00532119, -49.242, 0.0111304, 133.02, 2.84004E-007, -86.1927, 5.9087E-007, -79.9895, 8.95032E-007, 99.3994
68, 1.13333, 0.00546717, -49.2278, 0.00536208, -49.231, 0.0112176, 133.047, 2.85279E-007, -86.1848, 5.94064E-007, -79.9714, 8.99698E-007, 99.4266
69, 1.14167, 0.00550872, -49.2243, 0.00540307, -49.2212, 0.011305, 133.072, 2.86551E-007, -86.1779, 5.97255E-007, -79.9548, 9.04358E-007, 99.4525
69, 1.15000, 0.00555034, -49.222, 0.00544415, -49.2125, 0.0113926, 133.096, 2.87818E-007, -86.1722, 6.00441E-007, -79.9395, 9.0901E-007, 99.477
69, 1.15833, 0.00559205, -49.2207, 0.00548532, -49.2049, 0.0114804, 133.119, 2.89081E-007, -86.1676, 6.03622E-007, -79.9257, 9.13656E-007, 99.5002
70, 1.16667, 0.00563386, -49.2205, 0.00552658, -49.1985, 0.0115685, 133.141, 2.9034E-007, -86.164, 6.06801E-007, -79.9132, 9.18294E-007, 99.5222
71, 1.17500, 0.00567574, -49.2213, 0.00556794, -49.1931, 0.0116567, 133.161, 2.91595E-007, -86.1615, 6.09975E-007, -79.902, 9.22926E-007, 99.5429
