,harmonico,amplitude,angulo
0,1.0,100,0
1,1.008333,100,0
2,1.016667,100,0
3,1.025,100,0
4,1.033333,100,0
5,1.041667,100,0
6,1.05,100,0
7,1.058333,100,0
8,1.066667,100,0
9,1.075,100,0
10,1.083333,100,0
11,1.091667,100,0
12,1.1,100,0
13,1.108333,100,0
14,1.116667,100,0
15,1.125,100,0
16,1.133333,100,0
17,1.141667,100,0
18,1.15,100,0
19,1.158333,100,0
20,1.166667,100,0
21,1.175,100,0
22,1.183333,100,0
23,1.191667,100,0
24,1.2,100,0
25,1.208333,100,0
26,1.216667,100,0
27,1.225,100,0
28,1.233333,100,0
29,1.241667,100,0
30,1.25,100,0
31,1.258333,100,0
32,1.266667,100,0
33,1.275,100,0
34,1.283333,100,0
35,1.291667,100,0
36,1.3,100,0
37,1.308333,100,0
38,1.316667,100,0
39,1.325,100,0
40,1.333333,100,0
41,1.341667,100,0
42,1.35,100,0
43,1.358333,100,0
44,1.366667,100,0
45,1.375,100,0
46,1.383333,100,0
47,1.391667,100,0
48,1.4,100,0
49,1.408333,100,0
50,1.416667,100,0
51,1.425,100,0
52,1.433333,100,0
53,1.441667,100,0
54,1.45,100,0
55,1.458333,100,0
56,1.466667,100,0
57,1.475,100,0
58,1.483333,100,0
59,1.491667,100,0
60,1.5,100,0
61,1.508333,100,0
62,1.516667,100,0
63,1.525,100,0
64,1.533333,100,0
65,1.541667,100,0
66,1.55,100,0
67,1.558333,100,0
68,1.566667,100,0
69,1.575,100,0
70,1.583333,100,0
71,1.591667,100,0
72,1.6,100,0
73,1.608333,100,0
74,1.616667,100,0
75,1.625,100,0
76,1.633333,100,0
77,1.641667,100,0
78,1.65,100,0
79,1.658333,100,0
80,1.666667,100,0
81,1.675,100,0
82,1.683333,100,0
83,1.691667,100,0
84,1.7,100,0
85,1.708333,100,0
86,1.716667,100,0
87,1.725,100,0
88,1.733333,100,0
89,1.741667,100,0
90,1.75,100,0
91,1.758333,100,0
92,1.766667,100,0
93,1.775,100,0
94,1.783333,100,0
95,1.791667,100,0
96,1.8,100,0
97,1.808333,100,0
98,1.816667,100,0
99,1.825,100,0
100,1.833333,100,0
101,1.841667,100,0
102,1.85,100,0
103,1.858333,100,0
104,1.866667,100,0
105,1.875,100,0
106,1.883333,100,0
107,1.891667,100,0
108,1.9,100,0
109,1.908333,100,0
110,1.916667,100,0
111,1.925,100,0
112,1.933333,100,0
113,1.941667,100,0
114,1.95,100,0
115,1.958333,100,0
116,1.966667,100,0
117,1.975,100,0
118,1.983333,100,0
119,1.991667,100,0
120,2.0,100,0
121,2.008333,100,0
122,2.016667,100,0
123,2.025,100,0
124,2.033333,100,0
125,2.041667,100,0
126,2.05,100,0
127,2.058333,100,0
128,2.066667,100,0
129,2.075,100,0
130,2.083333,100,0
131,2.091667,100,0
132,2.1,100,0
133,2.108333,100,0
134,2.116667,100,0
135,2.125,100,0
