Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
60, 1.00000, 14793.2, -2.34353, 14660.3, -122.615, 14685.9, 118.051, 48.1275, -14.4642, 39.7532, -129.59, 37.2182, 116.373
60, 1.00833, 13069.7, -1.6744, 13617.5, -122.997, 13632.2, 118.574, 93.3425, -27.2882, 77.3998, -145.075, 70.7163, 100.179
61, 1.01667, 0.976656, 45.9238, 28.2795, -24.9987, 29.4238, 155.351, 0.0124847, -38.7853, 0.95394, 116.125, 0.964487, -63.9063
62, 1.02500, 0.982829, 45.5699, 28.3885, -24.8366, 29.5382, 155.517, 0.0125176, -38.6127, 0.95449, 116.061, 0.96506, -63.9696
62, 1.03333, 0.989037, 45.2177, 28.4983, -24.6759, 29.6534, 155.683, 0.0125506, -38.4414, 0.955046, 115.996, 0.965639, -64.0328
63, 1.04167, 0.995282, 44.8673, 28.6088, -24.5164, 29.7694, 155.847, 0.0125836, -38.2716, 0.955606, 115.931, 0.966223, -64.0959
63, 1.05000, 1.00156, 44.5186, 28.7199, -24.3584, 29.886, 156.01, 0.0126166, -38.103, 0.956171, 115.867, 0.966811, -64.1589
63, 1.05833, 1.00787, 44.1716, 28.8318, -24.2016, 30.0034, 156.171, 0.0126496, -37.9358, 0.956741, 115.803, 0.967405, -64.2217
64, 1.06667, 1.01422, 43.8262, 28.9444, -24.0462, 30.1216, 156.331, 0.0126827, -37.7697, 0.957315, 115.739, 0.968004, -64.2844
65, 1.07500, 1.02061, 43.4825, 29.0576, -23.8922, 30.2405, 156.49, 0.0127157, -37.6049, 0.957895, 115.675, 0.968608, -64.347
65, 1.08333, 1.02703, 43.1404, 29.1716, -23.7395, 30.3601, 156.647, 0.0127488, -37.4412, 0.958479, 115.611, 0.969218, -64.4096
66, 1.09167, 1.03348, 42.7998, 29.2863, -23.5881, 30.4805, 156.803, 0.0127819, -37.2785, 0.959069, 115.547, 0.969833, -64.472
66, 1.10000, 1.03998, 42.4609, 29.4016, -23.4381, 30.6016, 156.958, 0.012815, -37.117, 0.959663, 115.483, 0.970453, -64.5343
66, 1.10833, 1.0465, 42.1234, 29.5177, -23.2894, 30.7234, 157.111, 0.0128482, -36.9564, 0.960263, 115.419, 0.971078, -64.5966
67, 1.11667, 1.05306, 41.7874, 29.6344, -23.142, 30.846, 157.263, 0.0128814, -36.7967, 0.960867, 115.356, 0.971709, -64.6588
68, 1.12500, 1.05966, 41.453, 29.7518, -22.996, 30.9693, 157.414, 0.0129146, -36.638, 0.961477, 115.292, 0.972344, -64.7209
68, 1.13333, 1.06629, 41.1199, 29.87, -22.8513, 31.0933, 157.563, 0.0129478, -36.4802, 0.962091, 115.229, 0.972986, -64.7829
69, 1.14167, 1.07296, 40.7883, 29.9888, -22.7079, 31.2181, 157.711, 0.012981, -36.3232, 0.962711, 115.166, 0.973633, -64.8449
69, 1.15000, 1.07966, 40.458, 30.1083, -22.5658, 31.3436, 157.858, 0.0130143, -36.167, 0.963336, 115.102, 0.974285, -64.9068
69, 1.15833, 1.0864, 40.1292, 30.2285, -22.425, 31.4698, 158.003, 0.0130476, -36.0115, 0.963965, 115.039, 0.974942, -64.9687
70, 1.16667, 1.09318, 39.8016, 30.3494, -22.2856, 31.5968, 158.147, 0.0130809, -35.8567, 0.964601, 114.976, 0.975605, -65.0305
71, 1.17500, 1.09999, 39.4754, 30.4709, -22.1474, 31.7245, 158.29, 0.0131143, -35.7027, 0.965241, 114.913, 0.976274, -65.0922
71, 1.18333, 1.10683, 39.1504, 30.5932, -22.0106, 31.8529, 158.431, 0.0131476, -35.5492, 0.965886, 114.85, 0.976948, -65.1539
72, 1.19167, 1.11372, 38.8267, 30.7161, -21.875, 31.9821, 158.571, 0.0131811, -35.3964, 0.966537, 114.787, 0.977628, -65.2156
72, 1.20000, 1.12064, 38.5042, 30.8398, -21.7408, 32.1119, 158.71, 0.0132145, -35.2442, 0.967193, 114.724, 0.978313, -65.2773
72, 1.20833, 1.12759, 38.183, 30.9641, -21.6079, 32.2425, 158.848, 0.013248, -35.0924, 0.967854, 114.661, 0.979004, -65.3389
73, 1.21667, 1.13458, 37.8629, 31.0891, -21.4762, 32.3739, 158.984, 0.0132816, -34.9412, 0.968521, 114.598, 0.979701, -65.4005
74, 1.22500, 1.14161, 37.544, 31.2148, -21.3458, 32.506, 159.119, 0.0133151, -34.7904, 0.969192, 114.535, 0.980403, -65.4621
74, 1.23333, 1.14867, 37.2262, 31.3411, -21.2167, 32.6387, 159.252, 0.0133488, -34.6401, 0.96987, 114.472, 0.981111, -65.5236
75, 1.24167, 1.15577, 36.9095, 31.4682, -21.0889, 32.7723, 159.385, 0.0133825, -34.4902, 0.970552, 114.409, 0.981824, -65.5852
75, 1.25000, 1.16291, 36.5939, 31.5959, -20.9623, 32.9065, 159.516, 0.0134162, -34.3406, 0.97124, 114.346, 0.982544, -65.6467
75, 1.25833, 1.17008, 36.2793, 31.7243, -20.8371, 33.0415, 159.646, 0.01345, -34.1914, 0.971933, 114.284, 0.983269, -65.7083
76, 1.26667, 1.17729, 35.9658, 31.8535, -20.713, 33.1772, 159.774, 0.0134838, -34.0425, 0.972632, 114.221, 0.984, -65.7698
77, 1.27500, 1.18454, 35.6533, 31.9832, -20.5903, 33.3136, 159.901, 0.0135177, -33.8939, 0.973336, 114.158, 0.984737, -65.8313
77, 1.28333, 1.19182, 35.3418, 32.1137, -20.4688, 33.4508, 160.028, 0.0135517, -33.7455, 0.974046, 114.095, 0.985479, -65.8929
78, 1.29167, 1.19914, 35.0312, 32.2449, -20.3485, 33.5887, 160.152, 0.0135858, -33.5973, 0.974761, 114.032, 0.986228, -65.9544
78, 1.30000, 1.2065, 34.7216, 32.3767, -20.2295, 33.7273, 160.276, 0.0136199, -33.4494, 0.975482, 113.969, 0.986982, -66.0159
78, 1.30833, 1.2139, 34.4129, 32.5092, -20.1117, 33.8666, 160.398, 0.0136541, -33.3016, 0.976209, 113.907, 0.987742, -66.0775
79, 1.31667, 1.22133, 34.105, 32.6425, -19.9951, 34.0067, 160.519, 0.0136884, -33.1539, 0.976941, 113.844, 0.988509, -66.1391
80, 1.32500, 1.2288, 33.7981, 32.7763, -19.8798, 34.1475, 160.639, 0.0137228, -33.0064, 0.977678, 113.781, 0.989281, -66.2007
80, 1.33333, 1.23631, 33.492, 32.9109, -19.7657, 34.289, 160.758, 0.0137573, -32.859, 0.978421, 113.718, 0.990059, -66.2623
81, 1.34167, 1.24386, 33.1867, 33.0462, -19.6528, 34.4313, 160.875, 0.0137918, -32.7116, 0.97917, 113.655, 0.990844, -66.324
81, 1.35000, 1.25144, 32.8822, 33.1821, -19.5412, 34.5743, 160.992, 0.0138265, -32.5643, 0.979925, 113.592, 0.991634, -66.3857
81, 1.35833, 1.25907, 32.5786, 33.3188, -19.4307, 34.718, 161.107, 0.0138613, -32.417, 0.980685, 113.529, 0.99243, -66.4474
82, 1.36667, 1.26673, 32.2756, 33.4561, -19.3215, 34.8625, 161.221, 0.0138962, -32.2696, 0.981451, 113.466, 0.993233, -66.5092
83, 1.37500, 1.27443, 31.9734, 33.5941, -19.2134, 35.0077, 161.333, 0.0139312, -32.1223, 0.982222, 113.403, 0.994042, -66.571
83, 1.38333, 1.28216, 31.6719, 33.7328, -19.1066, 35.1536, 161.445, 0.0139664, -31.9749, 0.983, 113.34, 0.994857, -66.6328
84, 1.39167, 1.28994, 31.3711, 33.8722, -19.0009, 35.3003, 161.555, 0.0140016, -31.8275, 0.983783, 113.276, 0.995678, -66.6947
84, 1.40000, 1.29776, 31.071, 34.0122, -18.8965, 35.4477, 161.664, 0.014037, -31.6799, 0.984572, 113.213, 0.996506, -66.7566
84, 1.40833, 1.30561, 30.7715, 34.153, -18.7932, 35.5958, 161.772, 0.0140726, -31.5323, 0.985367, 113.15, 0.997339, -66.8186
85, 1.41667, 1.31351, 30.4726, 34.2944, -18.691, 35.7447, 161.879, 0.0141083, -31.3845, 0.986168, 113.087, 0.998179, -66.8806
86, 1.42500, 1.32144, 30.1744, 34.4366, -18.5901, 35.8943, 161.985, 0.0141441, -31.2366, 0.986975, 113.023, 0.999026, -66.9427
86, 1.43333, 1.32941, 29.8767, 34.5794, -18.4903, 36.0447, 162.089, 0.0141801, -31.0885, 0.987788, 112.96, 0.999879, -67.0049
87, 1.44167, 1.33743, 29.5796, 34.7229, -18.3917, 36.1958, 162.192, 0.0142163, -30.9402, 0.988606, 112.896, 1.00074, -67.0671
87, 1.45000, 1.34548, 29.283, 34.8671, -18.2942, 36.3476, 162.295, 0.0142526, -30.7917, 0.989431, 112.833, 1.0016, -67.1294
87, 1.45833, 1.35357, 28.987, 35.012, -18.1979, 36.5002, 162.396, 0.0142892, -30.643, 0.990261, 112.769, 1.00248, -67.1918
88, 1.46667, 1.3617, 28.6915, 35.1576, -18.1028, 36.6536, 162.496, 0.0143259, -30.4941, 0.991098, 112.705, 1.00335, -67.2542
89, 1.47500, 1.36988, 28.3964, 35.3039, -18.0087, 36.8077, 162.594, 0.0143628, -30.345, 0.991941, 112.641, 1.00424, -67.3167
89, 1.48333, 1.37809, 28.1019, 35.4509, -17.9159, 36.9625, 162.692, 0.0143999, -30.1955, 0.99279, 112.578, 1.00513, -67.3793
90, 1.49167, 1.38634, 27.8077, 35.5986, -17.8241, 37.1181, 162.789, 0.0144372, -30.0458, 0.993644, 112.514, 1.00603, -67.4419
90, 1.50000, 1.39464, 27.514, 35.747, -17.7335, 37.2744, 162.884, 0.0144747, -29.8959, 0.994505, 112.45, 1.00693, -67.5047
90, 1.50833, 1.40297, 27.2207, 35.8961, -17.644, 37.4315, 162.978, 0.0145125, -29.7456, 0.995373, 112.385, 1.00785, -67.5675
91, 1.51667, 1.41135, 26.9277, 36.0459, -17.5556, 37.5894, 163.072, 0.0145505, -29.595, 0.996246, 112.321, 1.00876, -67.6304
92, 1.52500, 1.41976, 26.6352, 36.1964, -17.4683, 37.748, 163.164, 0.0145887, -29.4441, 0.997126, 112.257, 1.00969, -67.6934
92, 1.53333, 1.42822, 26.343, 36.3476, -17.3822, 37.9074, 163.255, 0.0146272, -29.2929, 0.998011, 112.192, 1.01062, -67.7565
93, 1.54167, 1.43672, 26.0511, 36.4995, -17.2971, 38.0675, 163.345, 0.0146659, -29.1413, 0.998904, 112.128, 1.01156, -67.8197
93, 1.55000, 1.44526, 25.7595, 36.6521, -17.2131, 38.2284, 163.434, 0.0147049, -28.9893, 0.999802, 112.063, 1.0125, -67.883
93, 1.55833, 1.45385, 25.4682, 36.8054, -17.1303, 38.3901, 163.522, 0.0147442, -28.837, 1.00071, 111.999, 1.01346, -67.9464
94, 1.56667, 1.46247, 25.1772, 36.9595, -17.0485, 38.5525, 163.609, 0.0147837, -28.6844, 1.00162, 111.934, 1.01441, -68.0099
94, 1.57500, 1.47114, 24.8864, 37.1142, -16.9678, 38.7157, 163.694, 0.0148236, -28.5313, 1.00253, 111.869, 1.01538, -68.0734
95, 1.58333, 1.47985, 24.5959, 37.2696, -16.8882, 38.8797, 163.779, 0.0148637, -28.3779, 1.00346, 111.804, 1.01635, -68.1372
96, 1.59167, 1.4886, 24.3055, 37.4258, -16.8097, 39.0445, 163.863, 0.0149042, -28.2241, 1.00439, 111.739, 1.01733, -68.201
96, 1.60000, 1.49739, 24.0154, 37.5827, -16.7322, 39.21, 163.945, 0.0149449, -28.0699, 1.00533, 111.673, 1.01832, -68.2649
96, 1.60833, 1.50623, 23.7254, 37.7403, -16.6559, 39.3763, 164.027, 0.014986, -27.9153, 1.00627, 111.608, 1.01931, -68.3289
97, 1.61667, 1.51511, 23.4356, 37.8986, -16.5805, 39.5434, 164.107, 0.0150275, -27.7603, 1.00722, 111.542, 1.02031, -68.3931
98, 1.62500, 1.52403, 23.146, 38.0577, -16.5063, 39.7113, 164.187, 0.0150692, -27.6049, 1.00817, 111.477, 1.02132, -68.4574
98, 1.63333, 1.533, 22.8564, 38.2174, -16.4331, 39.88, 164.265, 0.0151114, -27.4491, 1.00914, 111.411, 1.02234, -68.5218
99, 1.64167, 1.542, 22.567, 38.378, -16.3609, 40.0495, 164.342, 0.0151539, -27.2929, 1.01011, 111.345, 1.02336, -68.5863
99, 1.65000, 1.55105, 22.2776, 38.5392, -16.2898, 40.2197, 164.419, 0.0151968, -27.1362, 1.01108, 111.279, 1.02439, -68.651
99, 1.65833, 1.56015, 21.9884, 38.7011, -16.2198, 40.3908, 164.494, 0.0152401, -26.9792, 1.01207, 111.213, 1.02543, -68.7158
100, 1.66667, 1.56929, 21.6991, 38.8638, -16.1507, 40.5626, 164.569, 0.0152838, -26.8217, 1.01306, 111.147, 1.02647, -68.7807
101, 1.67500, 1.57847, 21.4099, 39.0272, -16.0827, 40.7353, 164.642, 0.0153279, -26.6639, 1.01405, 111.08, 1.02752, -68.8457
101, 1.68333, 1.58769, 21.1208, 39.1913, -16.0158, 40.9088, 164.714, 0.0153724, -26.5056, 1.01505, 111.014, 1.02858, -68.9109
102, 1.69167, 1.59696, 20.8316, 39.3562, -15.9499, 41.083, 164.786, 0.0154173, -26.3469, 1.01606, 110.947, 1.02965, -68.9763
102, 1.70000, 1.60627, 20.5424, 39.5219, -15.885, 41.2581, 164.856, 0.0154627, -26.1879, 1.01708, 110.88, 1.03072, -69.0417
102, 1.70833, 1.61563, 20.2531, 39.6882, -15.8211, 41.434, 164.926, 0.0155086, -26.0284, 1.0181, 110.813, 1.0318, -69.1074
103, 1.71667, 1.62503, 19.9638, 39.8553, -15.7582, 41.6108, 164.994, 0.0155549, -25.8685, 1.01913, 110.746, 1.03289, -69.1731
104, 1.72500, 1.63447, 19.6745, 40.0232, -15.6964, 41.7883, 165.061, 0.0156017, -25.7083, 1.02017, 110.678, 1.03399, -69.2391
104, 1.73333, 1.64396, 19.3851, 40.1918, -15.6355, 41.9667, 165.128, 0.015649, -25.5477, 1.02121, 110.611, 1.03509, -69.3051
105, 1.74167, 1.65349, 19.0955, 40.3611, -15.5757, 42.1459, 165.193, 0.0156968, -25.3867, 1.02226, 110.543, 1.0362, -69.3714
105, 1.75000, 1.66307, 18.8058, 40.5312, -15.5169, 42.3259, 165.258, 0.0157451, -25.2253, 1.02332, 110.475, 1.03732, -69.4378
105, 1.75833, 1.67269, 18.516, 40.7021, -15.459, 42.5068, 165.322, 0.0157939, -25.0637, 1.02439, 110.407, 1.03845, -69.5043
106, 1.76667, 1.68235, 18.226, 40.8737, -15.4022, 42.6885, 165.384, 0.0158433, -24.9016, 1.02546, 110.339, 1.03959, -69.571
107, 1.77500, 1.69206, 17.9359, 41.0461, -15.3463, 42.8711, 165.446, 0.0158933, -24.7392, 1.02654, 110.271, 1.04073, -69.6379
107, 1.78333, 1.70181, 17.6456, 41.2192, -15.2915, 43.0545, 165.507, 0.0159438, -24.5766, 1.02762, 110.202, 1.04188, -69.7049
