Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 14873.9, -124.462, 1.02718, -148.047
60, 1.00833, 12649.3, -124.475, 1.98558, -150.381
61, 1.01667, 0.0047975, -49.5, 3.53754E-007, -73.23
62, 1.02500, 0.00483725, -49.4719, 3.56015E-007, -73.1756
62, 1.03333, 0.0048771, -49.4453, 3.58273E-007, -73.1235
63, 1.04167, 0.00491703, -49.4202, 3.60528E-007, -73.0736
63, 1.05000, 0.00495704, -49.3965, 3.62779E-007, -73.0257
63, 1.05833, 0.00499714, -49.3741, 3.65027E-007, -72.98
64, 1.06667, 0.00503733, -49.3531, 3.67272E-007, -72.9363
65, 1.07500, 0.0050776, -49.3335, 3.69514E-007, -72.8945
65, 1.08333, 0.00511796, -49.3151, 3.71752E-007, -72.8546
66, 1.09167, 0.00515841, -49.2981, 3.73988E-007, -72.8165
66, 1.10000, 0.00519894, -49.2823, 3.7622E-007, -72.7803
66, 1.10833, 0.00523957, -49.2677, 3.78449E-007, -72.7458
67, 1.11667, 0.00528029, -49.2544, 3.80675E-007, -72.713
68, 1.12500, 0.00532109, -49.2423, 3.82897E-007, -72.6819
68, 1.13333, 0.00536198, -49.2313, 3.85116E-007, -72.6524
69, 1.14167, 0.00540297, -49.2215, 3.87333E-007, -72.6244
69, 1.15000, 0.00544405, -49.2128, 3.89545E-007, -72.598
69, 1.15833, 0.00548521, -49.2052, 3.91755E-007, -72.573
70, 1.16667, 0.00552648, -49.1988, 3.93962E-007, -72.5495
71, 1.17500, 0.00556783, -49.1934, 3.96165E-007, -72.5275
71, 1.18333, 0.00560928, -49.1891, 3.98365E-007, -72.5067
72, 1.19167, 0.00565083, -49.1858, 4.00563E-007, -72.4874
72, 1.20000, 0.00569246, -49.1836, 4.02756E-007, -72.4693
72, 1.20833, 0.00573419, -49.1824, 4.04947E-007, -72.4525
73, 1.21667, 0.00577602, -49.1822, 4.07135E-007, -72.4369
74, 1.22500, 0.00581795, -49.183, 4.0932E-007, -72.4225
74, 1.23333, 0.00585997, -49.1847, 4.11502E-007, -72.4093
75, 1.24167, 0.00590209, -49.1874, 4.13681E-007, -72.3972
75, 1.25000, 0.00594431, -49.1911, 4.15856E-007, -72.3863
75, 1.25833, 0.00598662, -49.1957, 4.18029E-007, -72.3764
76, 1.26667, 0.00602904, -49.2012, 4.20199E-007, -72.3676
77, 1.27500, 0.00607156, -49.2076, 4.22367E-007, -72.3598
77, 1.28333, 0.00611418, -49.2149, 4.24531E-007, -72.353
78, 1.29167, 0.0061569, -49.2231, 4.26692E-007, -72.3472
78, 1.30000, 0.00619972, -49.2321, 4.28851E-007, -72.3423
78, 1.30833, 0.00624264, -49.2421, 4.31007E-007, -72.3384
79, 1.31667, 0.00628567, -49.2528, 4.3316E-007, -72.3353
80, 1.32500, 0.0063288, -49.2644, 4.35311E-007, -72.3332
80, 1.33333, 0.00637204, -49.2769, 4.37459E-007, -72.3319
81, 1.34167, 0.00641538, -49.2901, 4.39604E-007, -72.3314
81, 1.35000, 0.00645883, -49.3042, 4.41747E-007, -72.3318
81, 1.35833, 0.00650238, -49.3191, 4.43887E-007, -72.3329
82, 1.36667, 0.00654605, -49.3347, 4.46025E-007, -72.3349
83, 1.37500, 0.00658982, -49.3512, 4.48161E-007, -72.3376
83, 1.38333, 0.0066337, -49.3684, 4.50293E-007, -72.341
84, 1.39167, 0.00667769, -49.3864, 4.52424E-007, -72.3452
84, 1.40000, 0.00672179, -49.4051, 4.54553E-007, -72.35
84, 1.40833, 0.006766, -49.4246, 4.56679E-007, -72.3556
85, 1.41667, 0.00681032, -49.4448, 4.58803E-007, -72.3618
86, 1.42500, 0.00685475, -49.4658, 4.60924E-007, -72.3687
86, 1.43333, 0.0068993, -49.4875, 4.63044E-007, -72.3762
87, 1.44167, 0.00694396, -49.5099, 4.65161E-007, -72.3843
87, 1.45000, 0.00698874, -49.533, 4.67277E-007, -72.3931
87, 1.45833, 0.00703363, -49.5569, 4.6939E-007, -72.4024
88, 1.46667, 0.00707864, -49.5814, 4.71502E-007, -72.4124
89, 1.47500, 0.00712376, -49.6067, 4.73611E-007, -72.4229
89, 1.48333, 0.00716899, -49.6326, 4.75719E-007, -72.4339
