Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 14813.7, -120.932, 0.597618, -142.314
60, 1.00833, 14442.3, -120.852, 1.21978, -145.605
61, 1.01667, 9.52319, -83.4886, 0.000392672, -104.178
62, 1.02500, 9.55721, -83.2971, 0.000393262, -103.928
62, 1.03333, 9.59143, -83.107, 0.000393857, -103.681
63, 1.04167, 9.62585, -82.9183, 0.000394456, -103.435
63, 1.05000, 9.66046, -82.7311, 0.000395059, -103.192
63, 1.05833, 9.69527, -82.5453, 0.000395665, -102.95
64, 1.06667, 9.73028, -82.3609, 0.000396276, -102.71
65, 1.07500, 9.76548, -82.1779, 0.00039689, -102.473
65, 1.08333, 9.80087, -81.9964, 0.000397507, -102.237
66, 1.09167, 9.83645, -81.8162, 0.000398128, -102.003
66, 1.10000, 9.87222, -81.6374, 0.000398753, -101.771
66, 1.10833, 9.90819, -81.4601, 0.00039938, -101.54
67, 1.11667, 9.94434, -81.284, 0.000400011, -101.312
68, 1.12500, 9.98069, -81.1095, 0.000400645, -101.085
68, 1.13333, 10.0172, -80.9362, 0.000401281, -100.86
69, 1.14167, 10.0539, -80.7644, 0.000401921, -100.636
69, 1.15000, 10.0908, -80.5939, 0.000402564, -100.414
69, 1.15833, 10.1279, -80.4248, 0.000403209, -100.194
70, 1.16667, 10.1652, -80.257, 0.000403857, -99.9754
71, 1.17500, 10.2027, -80.0906, 0.000404507, -99.7583
71, 1.18333, 10.2403, -79.9255, 0.00040516, -99.5426
72, 1.19167, 10.2781, -79.7618, 0.000405816, -99.3285
72, 1.20000, 10.3161, -79.5994, 0.000406474, -99.1159
72, 1.20833, 10.3543, -79.4383, 0.000407135, -98.9047
73, 1.21667, 10.3927, -79.2786, 0.000407797, -98.6949
74, 1.22500, 10.4313, -79.1202, 0.000408462, -98.4865
74, 1.23333, 10.47, -78.9631, 0.00040913, -98.2795
75, 1.24167, 10.5089, -78.8072, 0.000409799, -98.0738
75, 1.25000, 10.548, -78.6527, 0.000410471, -97.8695
75, 1.25833, 10.5873, -78.4995, 0.000411144, -97.6665
76, 1.26667, 10.6267, -78.3476, 0.00041182, -97.4648
77, 1.27500, 10.6663, -78.197, 0.000412497, -97.2644
77, 1.28333, 10.7061, -78.0476, 0.000413177, -97.0652
78, 1.29167, 10.7461, -77.8995, 0.000413858, -96.8672
78, 1.30000, 10.7863, -77.7526, 0.000414542, -96.6704
78, 1.30833, 10.8266, -77.6071, 0.000415227, -96.4748
79, 1.31667, 10.8671, -77.4627, 0.000415914, -96.2804
80, 1.32500, 10.9078, -77.3197, 0.000416603, -96.0871
80, 1.33333, 10.9486, -77.1778, 0.000417293, -95.8949
81, 1.34167, 10.9897, -77.0372, 0.000417985, -95.7039
81, 1.35000, 11.0309, -76.8978, 0.000418679, -95.5139
81, 1.35833, 11.0722, -76.7597, 0.000419375, -95.3251
82, 1.36667, 11.1138, -76.6227, 0.000420072, -95.1372
83, 1.37500, 11.1555, -76.487, 0.000420771, -94.9504
83, 1.38333, 11.1974, -76.3525, 0.000421471, -94.7647
84, 1.39167, 11.2394, -76.2191, 0.000422173, -94.5799
84, 1.40000, 11.2817, -76.087, 0.000422877, -94.3962
84, 1.40833, 11.3241, -75.956, 0.000423582, -94.2134
85, 1.41667, 11.3666, -75.8262, 0.000424289, -94.0315
86, 1.42500, 11.4094, -75.6976, 0.000424997, -93.8507
86, 1.43333, 11.4523, -75.5702, 0.000425707, -93.6707
87, 1.44167, 11.4953, -75.4439, 0.000426418, -93.4917
87, 1.45000, 11.5386, -75.3188, 0.000427131, -93.3135
87, 1.45833, 11.582, -75.1948, 0.000427845, -93.1363
88, 1.46667, 11.6256, -75.0719, 0.000428561, -92.9599
89, 1.47500, 11.6693, -74.9503, 0.000429278, -92.7844
89, 1.48333, 11.7133, -74.8297, 0.000429997, -92.6097
90, 1.49167, 11.7573, -74.7103, 0.000430717, -92.4359
90, 1.50000, 11.8016, -74.5919, 0.000431438, -92.2629
90, 1.50833, 11.846, -74.4747, 0.000432161, -92.0907
91, 1.51667, 11.8906, -74.3587, 0.000432886, -91.9193
92, 1.52500, 11.9354, -74.2437, 0.000433612, -91.7486
92, 1.53333, 11.9803, -74.1298, 0.000434339, -91.5788
93, 1.54167, 12.0254, -74.017, 0.000435068, -91.4097
93, 1.55000, 12.0706, -73.9053, 0.000435798, -91.2413
93, 1.55833, 12.1161, -73.7947, 0.00043653, -91.0737
94, 1.56667, 12.1616, -73.6851, 0.000437263, -90.9068
94, 1.57500, 12.2074, -73.5766, 0.000437998, -90.7407
95, 1.58333, 12.2533, -73.4692, 0.000438734, -90.5752
96, 1.59167, 12.2994, -73.3629, 0.000439471, -90.4104
96, 1.60000, 12.3457, -73.2576, 0.00044021, -90.2463
96, 1.60833, 12.3921, -73.1533, 0.000440951, -90.0829
97, 1.61667, 12.4387, -73.0501, 0.000441693, -89.9202
98, 1.62500, 12.4854, -72.948, 0.000442436, -89.7581
98, 1.63333, 12.5323, -72.8468, 0.000443181, -89.5967
99, 1.64167, 12.5794, -72.7467, 0.000443928, -89.4359
99, 1.65000, 12.6267, -72.6477, 0.000444676, -89.2757
99, 1.65833, 12.6741, -72.5496, 0.000445425, -89.1161
100, 1.66667, 12.7217, -72.4526, 0.000446176, -88.9572
101, 1.67500, 12.7694, -72.3566, 0.000446929, -88.7989
101, 1.68333, 12.8173, -72.2615, 0.000447683, -88.6411
102, 1.69167, 12.8654, -72.1675, 0.000448439, -88.484
102, 1.70000, 12.9136, -72.0745, 0.000449197, -88.3274
102, 1.70833, 12.962, -71.9825, 0.000449956, -88.1714
103, 1.71667, 13.0106, -71.8914, 0.000450717, -88.0159
104, 1.72500, 13.0593, -71.8014, 0.000451479, -87.861
104, 1.73333, 13.1082, -71.7123, 0.000452243, -87.7067
105, 1.74167, 13.1573, -71.6242, 0.000453009, -87.5529
105, 1.75000, 13.2065, -71.5371, 0.000453777, -87.3997
105, 1.75833, 13.2559, -71.4509, 0.000454546, -87.2469
106, 1.76667, 13.3055, -71.3657, 0.000455317, -87.0947
107, 1.77500, 13.3552, -71.2815, 0.00045609, -86.943
107, 1.78333, 13.4051, -71.1982, 0.000456864, -86.7918
108, 1.79167, 13.4552, -71.1158, 0.000457641, -86.6411
108, 1.80000, 13.5054, -71.0344, 0.000458419, -86.4909
108, 1.80833, 13.5558, -70.9539, 0.000459199, -86.3413
109, 1.81667, 13.6064, -70.8744, 0.000459981, -86.192
109, 1.82500, 13.6571, -70.7958, 0.000460765, -86.0433
110, 1.83333, 13.708, -70.7182, 0.000461551, -85.8951
111, 1.84167, 13.7591, -70.6414, 0.000462338, -85.7472
111, 1.85000, 13.8103, -70.5656, 0.000463128, -85.5999
111, 1.85833, 13.8617, -70.4907, 0.00046392, -85.4531
112, 1.86667, 13.9133, -70.4167, 0.000464713, -85.3066
113, 1.87500, 13.965, -70.3437, 0.000465509, -85.1607
113, 1.88333, 14.0169, -70.2715, 0.000466307, -85.0152
114, 1.89167, 14.0689, -70.2003, 0.000467106, -84.8701
114, 1.90000, 14.1212, -70.1299, 0.000467908, -84.7254
114, 1.90833, 14.1736, -70.0604, 0.000468712, -84.5812
115, 1.91667, 14.2261, -69.9919, 0.000469519, -84.4374
116, 1.92500, 14.2789, -69.9242, 0.000470327, -84.2941
116, 1.93333, 14.3318, -69.8574, 0.000471138, -84.1511
117, 1.94167, 14.3849, -69.7915, 0.000471951, -84.0086
117, 1.95000, 14.4381, -69.7265, 0.000472766, -83.8665
117, 1.95833, 14.4915, -69.6623, 0.000473583, -83.7247
118, 1.96667, 14.5451, -69.599, 0.000474403, -83.5834
119, 1.97500, 14.5988, -69.5366, 0.000475225, -83.4425
