Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
60, 1.00000, 14786.5, -2.34988, 14660.3, -122.733, 14656.3, 117.976, 35.6099, -10.0905, 40.0595, -128.374, 38.1725, 116.427
60, 1.00833, 13058.3, -1.67578, 13613.3, -123.103, 13602.3, 118.506, 68.9847, -27.011, 77.3426, -144.555, 71.3961, 100.444
61, 1.01667, 0.00487605, -47.5, 0.00475225, -47.362, 0.00984653, 134.161, 1.36652E-005, -53.6232, 1.30037E-005, -53.2861, 2.45585E-005, 129.56
62, 1.02500, 0.00491489, -47.443, 0.00479016, -47.2979, 0.00992623, 134.236, 1.3743E-005, -53.2909, 1.30775E-005, -52.937, 2.46972E-005, 129.947
62, 1.03333, 0.00495378, -47.3875, 0.00482811, -47.2353, 0.0100061, 134.31, 1.3821E-005, -52.9595, 1.31514E-005, -52.5886, 2.48362E-005, 130.334
63, 1.04167, 0.00499272, -47.3335, 0.00486612, -47.1743, 0.010086, 134.382, 1.3899E-005, -52.629, 1.32255E-005, -52.241, 2.49757E-005, 130.72
63, 1.05000, 0.0050317, -47.281, 0.00490417, -47.1147, 0.0101661, 134.453, 1.39773E-005, -52.2992, 1.32998E-005, -51.8942, 2.51156E-005, 131.106
63, 1.05833, 0.00507072, -47.2299, 0.00494227, -47.0566, 0.0102463, 134.522, 1.40557E-005, -51.9702, 1.33743E-005, -51.5481, 2.52559E-005, 131.491
64, 1.06667, 0.0051098, -47.1802, 0.00498042, -47, 0.0103266, 134.589, 1.41342E-005, -51.6419, 1.34489E-005, -51.2026, 2.53968E-005, 131.876
65, 1.07500, 0.00514893, -47.1319, 0.00501862, -46.9448, 0.010407, 134.656, 1.4213E-005, -51.3143, 1.35238E-005, -50.8577, 2.55382E-005, 132.26
65, 1.08333, 0.0051881, -47.0849, 0.00505687, -46.8909, 0.0104876, 134.72, 1.42919E-005, -50.9872, 1.35989E-005, -50.5134, 2.56802E-005, 132.644
66, 1.09167, 0.00522732, -47.0393, 0.00509517, -46.8385, 0.0105682, 134.784, 1.43711E-005, -50.6607, 1.36742E-005, -50.1696, 2.58228E-005, 133.028
66, 1.10000, 0.00526659, -46.995, 0.00513352, -46.7873, 0.010649, 134.846, 1.44505E-005, -50.3348, 1.37498E-005, -49.8263, 2.5966E-005, 133.412
