,autovalores
"('sourcebus.1',)",0.0024951534932554763
"('sourcebus.3',)",0.002514527099376983
"('sourcebus.2',)",0.002867888545929114
"('800.1',)",0.002890438621449608
"('800.2',)",0.008635357324787422
"('800.3',)",0.008703910976571447
"('802.1',)",0.0568325906370418
"('802.2',)",0.05728568619671652
"('806.1',)",0.06189698625905727
"('806.2',)",0.06373817650251842
"('802.3',)",0.06809295730801138
"('808.2',)",0.07118189655279951
"('808.1',)",0.07328294502279128
"('806.3',)",0.09831983152629134
"('808.3',)",0.11516749538579954
"('812.1',)",0.12821430774706402
"('810.2',)",0.12955768737349302
"('814.1',)",0.147413109178775
"('812.2',)",0.1489747997442435
"('812.3',)",0.2018941449242465
"('814r.2',)",0.21395295047846374
"('814r.3',)",0.22141183357782185
"('814r.1',)",0.23308103362581425
"('814.2',)",0.28474028143540253
"('814.3',)",0.2921781269206226
"('850.1',)",0.2981374491431491
"('850.3',)",0.3050661124146698
"('816.2',)",0.34064585629990257
"('816.3',)",0.35133233177570194
"('850.2',)",0.36310111063544465
"('818.1',)",0.3921930998174461
"('816.1',)",0.43863837118348964
"('822.1',)",0.4453958413205637
"('824.1',)",0.44889178827358905
"('824.3',)",0.4911668654264343
"('826.2',)",0.504247343038941
"('828.2',)",0.5254068298460348
"('824.2',)",0.5499728560364388
"('830.2',)",0.5648001043956704
"('820.1',)",0.5741849096249573
"('830.1',)",0.6007127492248042
"('828.1',)",0.6289053449509765
"('830.3',)",0.6493682016870478
"('828.3',)",0.671679116560202
"('854.2',)",1.0321240443585744
"('854.3',)",1.183641344588624
"('854.1',)",1.2804826858968608
"('832.2',)",1.2981031982685447
"('832.1',)",1.4501022374773127
"('832.3',)",1.65377462371421
"('858.1',)",1.904041959210506
"('858.2',)",1.9584896027450511
"('834.3',)",2.1580525352807065
"('860.1',)",2.200693088745877
"('834.2',)",2.303111678576083
"('860.2',)",2.3870990010708146
"('860.3',)",2.564678866647962
"('834.1',)",2.8388662424408264
"('858.3',)",3.395469634713161
"('842.1',)",3.399255881089267
"('842.2',)",5.149195549976819
"('842.3',)",5.364240305057892
"('836.1',)",5.409901747621173
"('836.2',)",5.946949601211522
"('836.3',)",6.298398485877345
"('840.1',)",6.5450693783858105
"('840.2',)",6.8824912506608555
"('844.1',)",7.560056458591933
"('862.3',)",7.904559997053897
"('862.2',)",8.317724774616067
"('862.1',)",9.65227941828643
"('840.3',)",10.45524773560571
"('844.2',)",11.943834260414658
"('844.3',)",13.75657205265075
"('846.1',)",15.129410298549493
"('846.3',)",16.624223641212865
"('888.3',)",16.95939584555264
"('846.2',)",18.036401104395015
"('848.3',)",20.558378574399377
"('890.1',)",22.48124381063843
"('890.2',)",23.80756425595614
"('838.2',)",24.485438719937722
"('852.1',)",30.293275447265994
"('864.1',)",30.858151429983312
"('852r.1',)",42.6348366578363
"('848.1',)",55.53051388187094
"('856.2',)",58.011892608772776
"('852r.2',)",73.98151895251058
"('848.2',)",82.35962280481418
"('852r.3',)",157.15578439427227
"('888.1',)",175.89206275566374
"('888.2',)",520.4429317331703
"('852.2',)",1678.1489425255168
"('852.3',)",1790.6148926177273
"('890.3',)",5153.187473205309
